"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0.479,-0.1953125,
0.4795,-0.068359375,
0.48,0.0341796875,
0.4805,0.2099609375,
0.481,0.48828125,
0.4815,0.76171875,
0.482,0.8984375,
0.4825,0.87890625,
0.483,0.791015625,
0.4835,0.703125,
0.484,0.6640625,
0.4845,0.673828125,
0.485,0.654296875,
0.4855,0.5419921875,
0.486,0.380859375,
0.4865,0.3125,
0.487,0.390625,
0.4875,0.537109375,
0.488,0.6298828125,
0.4885,0.615234375,
0.489,0.52734375,
0.4895,0.4150390625,
0.49,0.3369140625,
0.4905,0.29296875,
0.491,0.1904296875,
0.4915,-0.048828125,
0.492,-0.3759765625,
0.4925,-0.6494140625,
0.493,-0.771484375,
0.4935,-0.7763671875,
0.494,-0.76171875,
0.4945,-0.7568359375,
0.495,-0.78125,
0.4955,-0.7666015625,
0.496,-0.64453125,
0.4965,-0.419921875,
0.497,-0.1953125,
0.4975,-0.087890625,
0.498,-0.09765625,
0.4985,-0.126953125,
0.499,-0.09765625,
0.4995,-0.01953125,
0.5,0.048828125,
0.5005,0.0634765625,
0.501,0,
0.5015,-0.0732421875,
0.502,-0.0439453125,
0.5025,0.1171875,
0.503,0.33203125,
0.5035,0.478515625,
0.504,0.52734375,
0.5045,0.546875,
0.505,0.6005859375,
0.5055,0.68359375,
0.506,0.7568359375,
0.5065,0.732421875,
0.507,0.5517578125,
0.5075,0.2734375,
0.508,0.01953125,
0.5085,-0.1318359375,
0.509,-0.2294921875,
0.5095,-0.3515625,
0.51,-0.52734375,
0.5105,-0.6884765625,
0.511,-0.7666015625,
0.5115,-0.72265625,
0.512,-0.5859375,
0.5125,-0.4638671875,
0.513,-0.4541015625,
0.5135,-0.546875,
0.514,-0.625,
0.5145,-0.625,
0.515,-0.5859375,
0.5155,-0.5859375,
0.516,-0.6689453125,
0.5165,-0.791015625,
0.517,-0.8740234375,
0.5175,-0.8349609375,
0.518,-0.654296875,
0.5185,-0.4345703125,
0.519,-0.2783203125,
0.5195,-0.1806640625,
0.52,-0.05859375,
0.5205,0.1416015625,
0.521,0.390625,
0.5215,0.5908203125,
0.522,0.6787109375,
0.5225,0.6396484375,
0.523,0.5322265625,
0.5235,0.458984375,
0.524,0.4638671875,
0.5245,0.46875,
0.525,0.3857421875,
0.5255,0.2197265625,
0.526,0.05859375,
0.5265,0,
0.527,0.0390625,
0.5275,0.1171875,
0.528,0.166015625,
0.5285,0.1171875,
0.529,0.0146484375,
0.5295,-0.05859375,
0.53,-0.05859375,
0.5305,-0.05859375,
0.531,-0.15625,
0.5315,-0.3564453125,
0.532,-0.6005859375,
0.5325,-0.7861328125,
0.533,-0.8544921875,
0.5335,-0.830078125,
0.534,-0.7763671875,
0.5345,-0.76171875,
0.535,-0.76171875,
0.5355,-0.673828125,
0.536,-0.458984375,
0.5365,-0.1806640625,
0.537,0.0537109375,
0.5375,0.17578125,
0.538,0.2099609375,
0.5385,0.2197265625,
0.539,0.2734375,
0.5395,0.37109375,
0.54,0.44921875,
0.5405,0.4296875,
0.541,0.341796875,
0.5415,0.29296875,
0.542,0.361328125,
0.5425,0.5126953125,
0.543,0.673828125,
0.5435,0.7568359375,
0.544,0.76171875,
